12 MONTHS ENDING,PFA,REGION,OFFENCE,NUMBER OF OFFENCES
31/03/2003,Avon and Somerset,South West,All other theft offences,25959
31/03/2003,Avon and Somerset,South West,Bicycle theft,3090
31/03/2003,Bedfordshire,East,All other theft offences,8797
31/03/2003,Bedfordshire,East,Bicycle theft,719
31/03/2003,British Transport Police,British Transport Police,All other theft offences,21711
